Word                       Count
kept              6
waiting!"              1
near              11
her,              6
began,              3
low,              4
timid              2
voice,              7
"if              1
please,              1
sir--"              1
violently,              1
dropped              4
skurried              1
darkness              1
hard              5
go.              1
gloves              4
fanning              1
talking.              2
"dear,              1
queer              1
everything              2
to-day!              1
yesterday              1
things              4
usual.              1
_was_              4
morning?              1
same,              1
next              4
question              5
is,              4
'who              1
am              4
i?'              1
ah,              1
_that's_              1
puzzle!"              1
this,              9
hands              4
rabbit's              1
while              1
_can_              2
done              2
that?"              3
thought.              3
growing              6
again."              1
measure              1
two              2
high              4
shrinking              4
rapidly.              1
cause              3
hastily,              2
save              2
altogether.              1
"that              4
narrow              1
escape!"              1
frightened              3
sudden              3
change,              2
glad              3
existence.              1
garden!"              1
speed              1
door;              1
again              7
before.              1
"things              1
worse              1
ever,"              2
child,              1
"for              1
never!"              1
these              8
words,              2
foot              6
slipped,              1
splash!              1
chin              3
salt-water.              1
somehow              1
fallen              3
sea.              1
wept              1
something              8
splashing              1
swam              3
nearer              1
was:              1
mouse              1
slipped              1
"would              1
use,              1
now,"              2
"to              1
mouse?              1
out-of-the-way              1
likely              1
talk;              1
harm              1
trying."              1
"o              1
mouse,              1
do              7
know              13
pool?              1
swimming              2
here,              1
o              1
mouse!"              1
inquisitively              1
wink              1
eyes,              2
nothing.              1
"perhaps              1
doesn't              3
understand              2
english,"              1
dare              1
french              1
over              11
william              1
conqueror."              1
again:              1
"où              1
est              1
ma              1
chatte?"              1
sentence              5
lesson-book.              1
leap              1
water              1
quiver              1
fright.              1
beg              2
pardon!"              2
afraid              4
hurt              2
animal's              1
feelings.              1
didn't              4
cats."              1
"not              1
cats!"              1
shrill,              1
passionate              1
voice.              6
_you_              2
cats,              3
me?"              2
perhaps              1
soothing              1
tone;              3
"don't              1
angry              3
yet              1
show              2
our              10
cat              1
dinah.              1
you'd              3
fancy              1
such              2
quiet              1
thing."              1
bristling              1
really              2
offended.              1
"we              1
won't              3
talk              4
more,              4
not."              1
"we,              1
indeed!"              3
trembling              4
end              1
tail.              1
"as              1
_i_              1
subject!              1
family              1
always              2
_hated_              1
cats--nasty,              1
vulgar              1
things!              1
let              1
name              7
again!"              3
mad              1
tea              3
party.]              1
hurry              2
change              2
subject              2
conversation.              1
"are              1
you--are              1
fond--of--of              1
dogs?              1
dog              1
house,              6
you!              1
kills              1
rats              1
and--oh,              1
dear!"              2
sorrowful              1
tone.              1
"i'm              1
offended              4
go,              4
commotion              1
went.              2
called              10
softly              1
"mouse              1
again,              7
we              7
dogs              1
either,              1
them!"              2
slowly              3
her;              3
pale,              1
"let              1
us              4
shore              1
tell              9
history              1
you'll              1
why              3
hate              1
cats              2
dogs."              1
crowded              4
birds              6
animals              4
it;              3
duck              1
dodo,              1
lory              1
eaglet,              1
several              3
creatures.              1
whole              6
party              5
shore.              1
iii--a              1
caucus-race              1
tale              2
indeed              1
queer-looking              1
assembled              2
bank--the              1
draggled              1
feathers,              1
their              10
fur              2
clinging              1
them,              12
dripping              1
wet,              1
cross              1
uncomfortable.              1
question,              3
course,              5
consultation              1
few              4
minutes,              1
natural              1
familiarly              1
known              1
them              13
life.              2
last              8
person              5
authority              1
out,              8
"sit              1
listen              1
me!              1
_i'll_              1
enough!"              1
once,              3
ring,              1
middle.              1
"ahem!"              1
important              4
air.              4
ready?              1
driest              1
know.              3
silence              4
please!              1
'william              1
conqueror,              1
whose              1
favored              1
pope,              1
submitted              1
english,              1
wanted              1
leaders,              1
accustomed              1
usurpation              1
conquest.              1
edwin              1
morcar,              1
earls              1
mercia              1
northumbria'--"              1
"ugh!"              1
lory,              1
shiver.              1
"--'and              1
stigand,              1
patriotic              1
archbishop              2
canterbury,              1
advisable'--"              1
"found              1
_what_?"              3
duck.              1
_it_,"              1
replied              2
crossly;              1
"of              1
'it'              2
means."              1
means              5
enough,              1
thing,"              2
duck;              1
"it's              1
frog              1
worm.              1
find?"              1
notice              2
hurriedly              2
"'--found              1
advisable              1
go              16
edgar              1
atheling              1
meet              3
offer              1
him              3
crown.'--how              1
dear?"              1
continued,              1
turning              6
spoke.              2
wet              1
melancholy              1
"it              1
seem              3
all."              1
"in              1
case,"              1
dodo              1
solemnly,              1
rising              1
move              1
meeting              1
adjourn,              1
immediate              3
adoption              1
energetic              1
remedies--"              1
"speak              1
english!"              1
eaglet.              1
meaning              3
what's              2
believe              3
either!"              1
say,"              2
tone,              6
"is              1
caucus-race."              1
_is_              4
caucus-race?"              1
"why,"              1
"the              1
explain              2
it."              1
race-course,              1
circle,              1
placed              1
there.              1
"one,              1
two,              3
three              8
away!"              3
running              4
liked              1
left              6
liked,              1
easy              2
race              2
hour              2
over!"              1
panting              1
asking,              1
"but              2
has              5
won?"              1
answer              2
without              14
"_everybody_              1
won,              1
_all_              1
prizes."              1
prizes?"              1
chorus              2
voices              2
asked.              1
"why,              1
_she_,              1
course,"              1
pointing              1
finger;              1
calling              1
confused              1
way,              3
"prizes!              1
prizes!"              1
despair              1
pocket              1
pulled              1
comfits              1
(luckily              1
salt-water              1
it)              1
handed              2
prizes.              1
exactly              2
a-piece,              1
'round.              1
comfits;              1
caused              2
noise              3
confusion,              2
complained              1
theirs,              1
ones              1
choked              1
patted              1
back.              1
ring              1
begged              1
more.              2
"you              1
promised              1
history,              1
know,"              1
hate--c              1
d,"              1
added              6
whisper,              1
"mine              1
sad              1
tale!"              1
sighing.              1
tail,              2
certainly,"              1
looking              11
mouse's              1
call              1
sad?"              1
puzzling              1
speaking,              1
this:--              1
"fury              1
met              3
'let              1
both              4
law:              1
prosecute              1
_you_.--              1
come,              1
denial:              1
trial;              1
morning              1
do.'              1
cur,              1
'such              1
trial,              1
dear              2
sir,              3
jury              2
judge,              3
wasting              2
breath.'              1
'i'll              1
jury,'              1
cunning              1
old              2
fury;              1
try              3
cause,              1
condemn              1
death.'"              1
attending!"              1
severely.              1
thinking              4
of?"              2
pardon,"              1
humbly,              1
fifth              1
bend,              1
think?"              1
insult              1
nonsense!"              2
walking              2
away.              2
"please              1
finish              1
story!"              1
others              2
joined              1
chorus,              1
"yes,              1
please              2
do!"              1
shook              3
impatiently              2
quicker.              1
cat,              1
here!"              1
sensation              1
party.              1
canary              1
children,              1
"come              1
away,              1
dears!              1
bed!"              1
various              1
pretexts              1
moved              1
alone.              1
hadn't              1
mentioned              1
dinah!              1
nobody              1
seems              2
sure              4
she's              1
world!"              1
lonely              1
low-spirited.              1
while,              1
footsteps              2
eagerly.              1
iv--the              1
sends              1
bill              1
rabbit,              1
went,              2
lost              1
something;              1
paws!              1
whiskers!              1
she'll              1
executed,              1
ferrets              1
ferrets!              1
wonder?"              2
guessed              2
good-naturedly              1
hunting              1
nowhere              1
seen--everything              1
changed              2
since              3
swim              1
pool,              1
vanished              1
completely.              1
mary              1
ann,              1
_are_              1
doing              2
here?              1
run              1
home              1
fetch              1
fan!              1
quick,              1
now!"              2
"he              1
his              17
housemaid!"              1
he'll              1
finds              1
am!"              1
neat              1
brass              1
plate              1
"w.              1
rabbit"              1
engraved              1
knocking              1
upstairs,              1
fear              1
lest              1
real              1
ann              1
house              6
gloves.              1
tidy              1
window,              3
pairs              1
kid-gloves;              1
room,              1
stood              5
looking-glass.              1
uncorked              1
lips,              1
saying              1
it'll              1
for,              1
really,              1
being              2
thing!"              1
drunk              1
bottle,              2
pressing              1
ceiling,              1
stoop              1
broken.              1
remarking,              2
"that's              1
enough--i              1
sha'n't              2
more."              2
that!              1
kneel              1
floor.              1
growing,              1
resource,              1
arm              7
window              2
chimney,              1
whatever              1
happens.              1
_will_              1
become              1
luckily              1
magic              1
full              11
effect              1
grew              1
larger.              1
minutes              3
voice              8
outside              3
stopped              2
listen.              1
"mary              1
ann!              1
ann!"              1
"fetch              1
moment!"              1
stairs.              1
trembled              1
till              6
forgetting              1
thousand              1
times              2
reason              2
presently              1
inwards              1
elbow              1
pressed              2
attempt              1
proved              1
failure.              1
"then              1
window."              1
"_that_              1
won't!"              2
alice;              1
waiting              3
fancied              1
spread              2
snatch              2
hold              2
anything,              1
shriek              1
crash              1
broken              3
glass,              1
concluded              1
possible              1
cucumber-frame              1
sort.              1
voice--the              1
rabbit's--"pat!              1
pat!              1
you?"              4
"sure              1
then,              2
here!              1
digging              2
apples,              1
yer              2
honor!"              2
"here!              1
help              4
this!              1
me,              2
pat,              1
window?"              1
"sure,              1
arm,              2
business              2
there,              1
rate;              1
whispers              1
_two_              1
shrieks              1
sounds              2
next!"              1
pulling              1
_could_!"              1
waited              3
hearing              2
anything              1
rumbling              1
cart-wheels              1
sound              2
many              2
together.              3
words:              1
"where's              1
ladder?              1
bill's              1
other--bill!              1
bill!              1
bear?--who's              1
chimney?--nay,              1
sha'n't!              1
master              1
says              1
you've              2
chimney!"              1
drew              2
chimney              2
animal              1
scratching              1
scrambling              1
above              1
sharp              3
kick              1
happen              1
next.              1
general              1
"there              1
goes              2
bill!"              1
alone--"catch              1
him,              1
hedge!"              1
confusion              2
voices--"hold              1
head--brandy              1
now--don't              1
choke              1
him--what              1
happened              1
feeble,              1
squeaking              1
hardly              3
know--no              1
thank              1
ye.              1
better              3
now--all              1
comes              1
jack-in-the-box              1
sky-rocket!"              1
minute              4
silence,              1
moving              1
"a              1
barrowful              2
begin              1
with."              1
doubt,              1
shower              2
pebbles              2
rattling              1
hit              2
face.              3
noticed,              1
surprise,              2
cakes              2
lay              2
floor              1
head.              1
cakes,"              1
thought,              2
_some_              1
size."              1
swallowed              1
delighted              2
directly.              1
enough              2
crowd              3
outside.              1
rush              1
appeared,              1
safe              1
thick              1
wood.              3
duchess              1
tucked              3
affectionately              2
alice's."]              1
do,"              2
wandered              1
wood,              1
again;              1
suppose              2
ought              5
'what?'"              1
around              1
blades              1
grass,              2
circumstances.              1
mushroom              5
height              3
stretched              2
tiptoe              1
edge              2
immediately              1
blue              1
caterpillar,              1
top,              1
arms              4
folded,              2
quietly              2
smoking              1
hookah              3
taking              1
smallest              1
else.              1
v--advice              1
caterpillar              1
mouth              2
addressed              1
languid,              1
"who              1
_you_?"              2
caterpillar.              1
replied,              2
shyly,              1
"i--i              1
know,              2
present--at              1
least              3
morning,              1
then."              1
mean              4
sternly.              1
"explain              1
yourself!"              1
can't              8
_myself_,              1
afraid,              2
sir,"              2
"because              1
myself,              1
see--being              1
different              2
sizes              1
confusing."              1
gravely,              1
are,              1
first."              1
"why?"              1
_very_              2
unpleasant              1
state              6
mind,              1
back!"              1
"i've              1
say!"              1
"keep              1
temper,"              1
all?"              2
swallowing              1
anger              1
could.              1
"no,"              1
unfolded              2
arms,              1
"so              2
you're              4
changed,              1
am,              1
used--and              1
keep              3
together!"              1
want              3
be?"              1
asked              3
particular              3
size,"              1
"only              1
changing              1
often,              1
_little_              1
wouldn't              1
mind,"              1
"three              1
wretched              1
be."              1
angrily,              1
rearing              1
itself              1
upright              1
spoke              2
high).              1
crawled              1
merely              1
"one              1
taller,              1
shorter."              1
_what_?              1
mushroom,"              1
aloud;              1
sight.              1
thoughtfully              1
minute,              1
broke              1
each              4
hand.              1
which?"              1
nibbled              2
right-hand              1
effect.              1
violent              1
blow              1
underneath              1
chin--it              1
foot!              1
rapidly;              1
bit.              1
closely              1
mouth;              1
swallow              1
morsel              1
left-hand              2
bit....              1
head's              1
free              7
last!"              1
see,              3
immense              1
length              1
neck,              1
rise              1
stalk              1
sea              1
green              1
leaves              2
below              1
"where              1
_have_              1
shoulders              1
to?              1
hands,              2
bend              1
easily              2
direction,              1
serpent.              1
succeeded              2
curving              1
graceful              1
zigzag              1
dive              1
hiss              1
draw              1
hurry--a              1
pigeon              1
flown              1
beating              1
violently              2
wings.              1
"serpent!"              1
pigeon.              1
serpent!"              1
indignantly.              1
alone!"              1
roots              1
trees,              1
banks,              1
hedges,"              1
serpents!              1
pleasing              1
puzzled.              1
wasn't              1
hatching              1
eggs,"              1
pigeon,              1
look-out              1
serpents,              1
night              1
day!              1
i'd              1
taken              1
highest              1
tree              3
wood,"              1
continued              1
raising              1
shriek,              1
last,              1
needs              1
wriggling              1
sky!              1
ugh,              1
serpent,              1
you!"              1
a--i'm              1
girl,"              1
doubtfully,              1
remembered              2
number              4
changes              1
gone              4
day.              1
"you're              1
eggs,              2
_that_              4
enough,"              1
pigeon;              1
does              2
matter              1
girl              1
serpent?"              1
matters              1
_me_,"              1
hastily;              1
happens,              1
was,              1
shouldn't              1
_yours_--i              1
raw."              1
then!"              2
sulky              1
settled              3
nest.              1
crouched              1
trees              3
entangled              2
branches,              1
stop              1
untwist              1
awhile              1
held              2
pieces              1
carefully,              1
nibbling              2
taller              1
shorter,              1
bringing              1
usual              1
height.              1
strange              2
first.              1
beautiful              2
garden--how              1
done,              1
place,              1
four              1
"whoever              1
lives              1
there,"              2
"it'll              1
_this_              2
size;              1
why,              1
frighten              1
wits!"              1
venture              1
brought              1
vi--pig              1
pepper              2
footman              2
livery              1
wood              1
(judging              1
only,              1
fish)--and              1
rapped              1
loudly              1
knuckles.              1
livery,              1
round              1
frog.              1
fish-footman              1
producing              1
letter,              2
saying,              1
solemn              2
duchess.              1
invitation              2
queen              1
play              6
croquet."              2
frog-footman              1
repeated,              1
"from              1
queen.              1
bowed              2
curls              1
gone,              1
ground              2
staring              1
stupidly              1
sky.              1
timidly              1
knocked.              1
"there's              1
knocking,"              1
footman,              1
reasons.              1
because              3
are;              1
secondly,              1
they're              3
inside,              1
extraordinary              1
within--a              1
constant              2
howling              3
sneezing,              1
crash,              1
dish              2
kettle              1
pieces.              1
in?"              1
"_are_              1
footman.              1
know."              2
in.              1
kitchen,              1
smoke              1
other;              2
three-legged              1
stool              1
nursing              1
baby;              1
cook              4
leaning              1
fire,              2
stirring              1
caldron              2
soup.              1
soup!"              1
sneezing.              1
sneezed              1
occasionally;              1
baby,              1
sneezing              2
alternately              1
moment's              1
pause.              1
creatures              2
kitchen              1
sneeze              1
grinning              1
ear              1
ear.              2
me,"              2
timidly,              3
"why              2
grins              1
cheshire-cat,"              1
that's              2
why."              1
cheshire-cats              1
grinned;              1
_could_              1
grin,"              1
much,"              2
fact."              1
soup              1
throwing              1
within              5
baby--the              1
fire-irons              1
first;              1
saucepans,              1
plates              1
dishes.              1
baby              3
already              2
impossible              1
blows              1
not.              1
_please_              1
doing!"              1
jumping              2
agony              1
terror.              1
nurse              1
bit,              1
like!"              1
flinging              1
ready              1
croquet              2
queen,"              1
room.              1
caught              2
difficulty,              1
queer-shaped              1
creature              2
directions.              1
child              1
"they're              1
kill              1
two.              1
murder              1
behind?"              1
loud              1
grunted              2
reply.              2
turn              1
pig,              1
dear,"              1
"i'll              1
you.              1
"now,              1
creature,              1
home?"              1
alarm.              1
_no_              1
mistake              1
it--it              1
neither              2
less              1
pig;              1
relieved              1
trot              1
startled              1
seeing              1
cheshire-cat              1
bough              1
yards              1
grinned              1
"cheshire-puss,"              1
here?"              1
direction,"              2
waving              2
paw              1
"lives              2
hatter;              1
paw,              1
march              1
hare.              1
visit              2
like;              1
mad."              1
people,"              1
remarked.              1
that,"              2
cat;              1
"we're              1
here.              1
to-day?"              1
haven't              2
invited              1
yet."              1
"you'll              1
vanished.              1
farther              1
sight              1
hare;              1
mushroom.              1
vii--a              1
tea-party              2
front              2
hare              1
hatter              1
dormouse              1
between              1
fast              1
asleep.              1
one,              1
together              1
corner              1
"no              1
room!              1
room!"              2
_plenty_              1
indignantly,              1
arm-chair              1
table.              2
wide              1
raven              1
writing-desk?"              1
they've              1
begun              1
asking              2
riddles--i              1
guess              1
aloud.              1
"do              1
it?"              1
"exactly              1
so,"              2
mean,"              1
on.              2
replied;              1
"at              1
least--at              1
say--that's              1
thing,              1
dormouse,              1
sleep,              1
'i              1
breathe              1
sleep'              1
sleep              2
breathe!'"              1
you,"              1
hatter,              1
poured              1
nose.              1
course;              1
remark              1
myself."              1
"have              1
riddle              1
yet?"              1
up,"              1
replied.              1
"what's              1
answer?"              1
slightest              1
idea,"              1
hatter.              1
"nor              1
i,"              1
weary              1
sigh.              1
time,"              1
"than              1
riddles              1
answers."              1
"take              1
tea,"              1
earnestly.              1
yet,"              2
_less_,"              1
_more_              1
nothing."              1
asleep              1
instantly              2
going,              1
though              1
twice;              1
tea-pot.              1
trial              3
knave              1
hearts.]              1
_there_              1
picked              2
stupidest              1
life!"              1
leading              1
curious!"              1
once."              1
unlocked              1
piece              4
pocket)              1
high;              1
passage;              1
_then_--she              1
flower-beds              1
fountains.              1
viii--the              1
queen's              1
rose-tree              1
entrance              1
garden;              1
roses              1
white,              1
gardeners              2
busily              1
painting              2
red.              1
chanced              1
watching              1
please,"              1
roses?"              1
five              1
seven              1
nothing,              1
fact              1
miss,              1
_red_              1
rose-tree,              1
mistake;              1
heads              2
cut              1
we're              1
best,              1
afore              1
comes,              1
to--"              1
five,              1
queen!              1
queen!"              1
threw              1
themselves              2
flat              1
faces.              1
eager              1
soldiers              3
carrying              2
clubs,              1
corners:              1
courtiers;              1
ornamented              2
diamonds.              1
royal              1
children;              1
hearts.              1
guests,              1
mostly              1
kings              1
queens,              1
recognized              1
rabbit.              1
hearts,              1
king's              1
crown              2
crimson              1
velvet              1
cushion;              1
grand              1
procession              2
king              1
opposite              1
severely,              1
this?"              1
smiled              1
"my              1
majesty,"              1
politely;              1
pack              4
cards,              1
all!"              1
"can              1
croquet?"              1
shouted              4
evidently              1
meant              2
"yes!"              1
loudly.              2
roared              1
"it's--it's              1
fine              1
day!"              1
peeping              1
"very,"              1
duchess?"              1
"hush!              1
hush!"              1
"she's              1
execution."              1
for?"              1
"she              1
boxed              1
ears--"              1
began.              3
"get              1
places!"              1
thunder,              1
directions,              1
tumbling              1
game              2
croquet-ground              1
life;              1
ridges              1
furrows.              1
balls              1
live              2
hedgehogs,              1
mallets              1
flamingos              1
double              1
stand              1
arches.              1
players              2
played              1
turns,              1
quarrelling              1
fighting              1
hedgehogs;              1
short              1
furious              1
passion              1
stamping              2
shouting,              2
"off              1
head!"              5
minute.              1
dreadfully              2
fond              1
beheading              1
here,"              1
alive!"              1
escape,              1
appearance              1
herself;              1
somebody              1
to."              1
on?"              1
cat.              1
fairly,"              1
complaining              1
quarrel              1
oneself              1
speak--and              1
particular."              1
queen?"              1
all,"              1
search              2
hedgehog.              1
hedgehog              1
engaged              1
fight              1
hedgehog,              1
excellent              1
opportunity              2
croqueting              1
difficulty              1
flamingo              2
helpless              1
fly              1
tree.              1
escape              1
(who              1
prison).              1
pleasant              1
temper.              1
startled,              1
something,              1
forget              1
talk."              1
game's              1
keeping              3
conversation              1
little.              1
"'tis              1
duchess;              1
moral              2
is--'oh,              1
'tis              2
love,              1
love              1
'round!'"              1
"somebody              1
said,"              1
whispered,              1
everybody              1
minding              1
business!"              1
"ah,              1
well!              1
shoulder,              1
is--'take              1
sense              1
themselves.'"              1
duchess's              1
linked              2
hers              2
tremble.              1
frowning              1
thunderstorm!              1
fair              1
warning,"              1
queen,              1
spoke,              1
"either              1
time.              1
choice!"              1
choice,              1
"let's              1
game,"              1
word,              1
croquet-ground.              1
playing,              1
quarreling              1
so,              1
players,              1
except              1
king,              1
custody              1
execution.              1
breath,              1
generally,              1
pardoned."              1
trial's              1
beginning!"              1
distance,              1
others.              2
ix--who              1
stole              2
tarts?              1
hearts              1
seated              1
throne              1
arrived,              1
them--all              1
sorts              1
beasts,              1
cards:              1
standing              1
chains,              1
soldier              1
guard              1
him;              1
trumpet              2
scroll              1
parchment              1
middle              1
court              3
tarts              3
they'd              1
done,"              1
refreshments!"              1
wore              1
wig.              1
jury-box,"              1
twelve              1
(some              1
birds)              1
jurors."              1
"silence              1
court!"              1
"herald,              1
read              2
accusation!"              1
king.              1
blew              2
blasts              2
trumpet,              1
unrolled              1
parchment-scroll              1
follows:              1
tarts,              1
summer              1
day;              1
"call              2
witness,"              1
king;              1
"first              1
witness!"              2
witness              3
teacup              3
bread              3
butter              2
finished,"              1
"when              1
begin?"              1
hare,              1
court,              1
dormouse.              1
"fourteenth              1
march,              1
_think_              1
was,"              1
said.              2
"give              1
evidence,"              2
nervous,              1
executed              1
spot."              1
encourage              1
all;              2
shifting              1
uneasily              1
instead              1
butter.              1
sensation--she              1
miserable              1
knee.              1
man,              1
_speaker_,"              1
go,"              1
court.              1
cook.              3
carried              1
pepper-box              1
once.              1
"sha'n't,"              1
"your              1
majesty              1
cross-examine              1
witness."              2
must,              2
must,"              1
"pepper,              1
mostly,"              1
disappeared.              1
"never              1
mind!"              1
watched              1
fumbled              1
list.              1
imagine              1
surprise              1
